location_id,borough,zone,service_zone
119,Bronx,Highbridge,Boro Zone
247,Bronx,West Concourse,Boro Zone
264,Unknown,N/A,N/A
255,Brooklyn,Williamsburg (North Side),Boro Zone
80,Brooklyn,East Williamsburg,Boro Zone
116,Manhattan,Hamilton Heights,Boro Zone
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone
158,Manhattan,Meatpacking/West Village West,Yellow Zone
100,Manhattan,Garment District,Yellow Zone
87,Manhattan,Financial District North,Yellow Zone
98,Queens,Fresh Meadows,Boro Zone
45,Manhattan,Chinatown,Yellow Zone
212,Bronx,Soundview/Bruckner,Boro Zone
52,Brooklyn,Cobble Hill,Boro Zone
140,Manhattan,Lenox Hill East,Yellow Zone
162,Manhattan,Midtown East,Yellow Zone
147,Bronx,Longwood,Boro Zone
166,Manhattan,Morningside Heights,Boro Zone
211,Manhattan,SoHo,Yellow Zone
114,Manhattan,Greenwich Village South,Yellow Zone
232,Manhattan,Two Bridges/Seward Park,Yellow Zone
213,Bronx,Soundview/Castle Hill,Boro Zone
159,Bronx,Melrose South,Boro Zone
249,Manhattan,West Village,Yellow Zone
79,Manhattan,East Village,Yellow Zone
145,Queens,Long Island City/Hunters Point,Boro Zone
16,Queens,Bayside,Boro Zone
11,Brooklyn,Bath Beach,Boro Zone
92,Queens,Flushing,Boro Zone
144,Manhattan,Little Italy/NoLiTa,Yellow Zone
196,Queens,Rego Park,Boro Zone
260,Queens,Woodside,Boro Zone
143,Manhattan,Lincoln Square West,Yellow Zone
88,Manhattan,Financial District South,Yellow Zone
137,Manhattan,Kips Bay,Yellow Zone
7,Queens,Astoria,Boro Zone
25,Brooklyn,Boerum Hill,Boro Zone
237,Manhattan,Upper East Side South,Yellow Zone
28,Queens,Briarwood/Jamaica Hills,Boro Zone
189,Brooklyn,Prospect Heights,Boro Zone
236,Manhattan,Upper East Side North,Yellow Zone
95,Queens,Forest Hills,Boro Zone
164,Manhattan,Midtown South,Yellow Zone
40,Brooklyn,Carroll Gardens,Boro Zone
263,Manhattan,Yorkville West,Yellow Zone
218,Queens,Springfield Gardens North,Boro Zone
152,Manhattan,Manhattanville,Boro Zone
233,Manhattan,UN/Turtle Bay South,Yellow Zone
41,Manhattan,Central Harlem,Boro Zone
13,Manhattan,Battery Park City,Yellow Zone
209,Manhattan,Seaport,Yellow Zone
112,Brooklyn,Greenpoint,Boro Zone
225,Brooklyn,Stuyvesant Heights,Boro Zone
238,Manhattan,Upper West Side North,Yellow Zone
122,Queens,Hollis,Boro Zone
113,Manhattan,Greenwich Village North,Yellow Zone
24,Manhattan,Bloomingdale,Yellow Zone
228,Brooklyn,Sunset Park West,Boro Zone
244,Manhattan,Washington Heights South,Boro Zone
193,Queens,Queensbridge/Ravenswood,Boro Zone
138,Queens,LaGuardia Airport,Airports
50,Manhattan,Clinton West,Yellow Zone
75,Manhattan,East Harlem South,Boro Zone
14,Brooklyn,Bay Ridge,Boro Zone
74,Manhattan,East Harlem North,Boro Zone
202,Manhattan,Roosevelt Island,Boro Zone
230,Manhattan,Times Sq/Theatre District,Yellow Zone
106,Brooklyn,Gowanus,Boro Zone
256,Brooklyn,Williamsburg (South Side),Boro Zone
132,Queens,JFK Airport,Airports
262,Manhattan,Yorkville East,Yellow Zone
107,Manhattan,Gramercy,Yellow Zone
161,Manhattan,Midtown Center,Yellow Zone
126,Bronx,Hunts Point,Boro Zone
226,Queens,Sunnyside,Boro Zone
35,Brooklyn,Brownsville,Boro Zone
243,Manhattan,Washington Heights North,Boro Zone
97,Brooklyn,Fort Greene,Boro Zone
198,Queens,Ridgewood,Boro Zone
48,Manhattan,Clinton East,Yellow Zone
22,Brooklyn,Bensonhurst West,Boro Zone
168,Bronx,Mott Haven/Port Morris,Boro Zone
261,Manhattan,World Trade Center,Yellow Zone
163,Manhattan,Midtown North,Yellow Zone
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
148,Manhattan,Lower East Side,Yellow Zone
181,Brooklyn,Park Slope,Boro Zone
37,Brooklyn,Bushwick South,Boro Zone
18,Bronx,Bedford Park,Boro Zone
141,Manhattan,Lenox Hill West,Yellow Zone
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone
235,Bronx,University Heights/Morris Heights,Boro Zone
265,N/A,Outside of NYC,N/A
36,Brooklyn,Bushwick North,Boro Zone
125,Manhattan,Hudson Sq,Yellow Zone
82,Queens,Elmhurst,Boro Zone
43,Manhattan,Central Park,Yellow Zone
231,Manhattan,TriBeCa/Civic Center,Yellow Zone
129,Queens,Jackson Heights,Boro Zone
142,Manhattan,Lincoln Square East,Yellow Zone
234,Manhattan,Union Sq,Yellow Zone
42,Manhattan,Central Harlem North,Boro Zone
83,Queens,Elmhurst/Maspeth,Boro Zone
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
33,Brooklyn,Brooklyn Heights,Boro Zone
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
170,Manhattan,Murray Hill,Yellow Zone
173,Queens,North Corona,Boro Zone
216,Queens,South Ozone Park,Boro Zone
257,Brooklyn,Windsor Terrace,Boro Zone
151,Manhattan,Manhattan Valley,Yellow Zone
68,Manhattan,East Chelsea,Yellow Zone
146,Queens,Long Island City/Queens Plaza,Boro Zone
133,Brooklyn,Kensington,Boro Zone
165,Brooklyn,Midwood,Boro Zone
4,Manhattan,Alphabet City,Yellow Zone
250,Bronx,Westchester Village/Unionport,Boro Zone
90,Manhattan,Flatiron,Yellow Zone
223,Queens,Steinway,Boro Zone
61,Brooklyn,Crown Heights North,Boro Zone
239,Manhattan,Upper West Side South,Yellow Zone
